Service,Level,Material/Surface,Total SF,Hours,Days,Factor
Exterior paint,Level 1,Stucco,408.0303,9.7927272,1.2240909,0.024
Exterior paint,Level 1,Stucco,269.9871,6.4796904,0.8099613,0.024
Exterior paint,Level 1,Stucco,423,10.152,1.269,0.024
Exterior paint,Level 1,Stucco,254,6.096,0.762,0.024
Exterior paint,Level 2,Stucco,540,12.96,1.62,0.024
Exterior paint,Level 2,Stucco,343.33,8.23992,1.02999,0.024
Exterior paint,Level 2,Stucco,540,12.96,1.62,0.024
Exterior paint,Level 2,Stucco,290,6.96,0.87,0.024
Exterior paint,Level 1,Stucco,616.5,14.796,1.8495,0.024
Exterior paint,level 2,Stucco,149.324,3.583776,0.447972,0.024
Exterior paint,level 2,Stucco,34,0.816,0.102,0.024
Exterior paint,Level 1,Stucco,1194.7583,28.6741992,3.5842749,0.024
Exterior paint,Level 2,Stucco,157.2,3.7728,0.4716,0.024
Exterior paint,Level 2,Stucco,364.0621,8.7374904,1.0921863,0.024
Exterior paint,Level 2,Wood,158.327,6.649734,0.83121675,0.042
Stucco,Level 1,5/8_texture_Stucco,408.0303,0,0,
Stucco,Level 1,5/8_texture_Stucco,269.9871,0,0,
Stucco,Level 1,5/8_texture_Stucco,423,0,0,
Stucco,Level 1,5/8_texture_Stucco,254,0,0,
Stucco,Level 2,5/8_texture_Stucco,540,0,0,
Stucco,Level 2,5/8_texture_Stucco,343.33,0,0,
Stucco,Level 2,5/8_texture_Stucco,540,0,0,
Stucco,Level 2,5/8_texture_Stucco,290,0,0,
Stucco,Level 1,5/8_texture_Stucco,616.5,0,0,
Stucco,level 2,5/8_texture_Stucco,149.324,0,0,
Stucco,level 2,5/8_texture_Stucco,34,0,0,
Stucco,Level 1,5/8_texture_Stucco_wire_lath,1194.7583,0,0,
Stucco,Level 2,5/8_texture_Stucco_wire_lath,157.2,0,0,
Stucco,Level 2,5/8_texture_Stucco_wire_lath,364.0621,0,0,
Interior Paint,Level 2,Drywall,298.2734889,7.158563734,0.894820467,0.024
Interior Paint,Level 2,Wood,115.541275,10.6297973,1.328724663,0.092
Interior Paint,Level 2,Drywall,325.48223,7.48609129,0.935761411,0.023
Interior Paint,Level 2,Drywall,609.6461,16.82623236,2.103279045,0.0276
Interior Paint,Level 2,Drywall,86.1108889,1.722217778,0.215277222,0.02
Interior Paint,Level 2,Drywall,370.6395721,8.89534973,1.111918716,0.024
Interior Paint,Level 2,Drywall,707.407602,16.97778245,2.122222806,0.024
Interior Paint,Level 2,Drywall,301.4,8.31864,1.03983,0.0276
Interior Paint,Level 2,Drywall,428.7599989,8.575199977,1.071899997,0.02
Interior Paint,Level 2,Drywall,433.3589799,9.967256537,1.245907067,0.023
Interior Paint,Level 2,Drywall,553.4912,13.2837888,1.6604736,0.024
Interior Paint,Level 2,Drywall,225.29599,4.5059198,0.563239975,0.02
Interior Paint,Level 2,Drywall,545.24855,13.0859652,1.63574565,0.024
Interior Paint,Level 2,Drywall,190.83275,3.816655,0.477081875,0.02
Interior Paint,Level 2,Drywall,193.572808,4.645747392,0.580718424,0.024
Interior Paint,Level 2,Drywall,348.21565,8.00895995,1.001119994,0.023
Interior Paint,Level 2,Drywall,258.8659,5.177318,0.64716475,0.02
Interior Paint,Level 2,Plaster,259.86,24.94656,3.11832,0.096
Drywall & Finish,Level 2,Drywall,298.2734889,0,0,
Drywall & Finish,Level 2,Wood,115.541275,0,0,
Drywall & Finish,Level 2,Drywall,325.48223,0,0,
Drywall & Finish,Level 2,Drywall,609.6461,0,0,
Drywall & Finish,Level 2,Drywall,86.1108889,0,0,
Drywall & Finish,Level 2,Drywall,370.6395721,0,0,
Drywall & Finish,Level 2,Drywall,707.407602,0,0,
Drywall & Finish,Level 2,Drywall,301.4,0,0,
Drywall & Finish,Level 2,Drywall,428.7599989,0,0,
Drywall & Finish,Level 2,Drywall,433.3589799,0,0,
Drywall & Finish,Level 2,Drywall,553.4912,0,0,
Drywall & Finish,Level 2,Drywall,225.29599,0,0,
Drywall & Finish,Level 2,Drywall,545.24855,0,0,
Drywall & Finish,Level 2,Drywall,190.83275,0,0,
Drywall & Finish,Level 2,Drywall,193.572808,0,0,
Drywall & Finish,Level 2,Drywall,348.21565,0,0,
Drywall & Finish,Level 2,Drywall,258.8659,0,0,
Framing,Level 2,Wood_studs,164.5,0,0,
Framing,Level 2,Wood_studs,161.2056,0,0,
Framing,Level 2,Wood_stripping,1518.0731,0,0,
Stucco,Level 1,5/8_texture_Stucco,102.15,0,0,
